Category,Question,Solution,Interviewer,Company
DSA,Reverse linked list,,,Cinnova
DSA,Find 2nd highest element of array.,,,Cinnova
DSA,Quick sort is based on divide and conquer strategy (true),,,Cinnova
DSA,What is the worst case time complexity of the binary tree sort. (o(n2)),,,Cinnova
DSA,Print 2d array in spiral,,,Codefulcrum
DSA,Bst ki characteristics,,,Copy of Qbatch
DSA,Data structures ki definition,,,Copy of Qbatch
DSA,"Array or linkedlist m searching ki time complexity, agr koi random value search krni hai",,,Copy of Qbatch
DSA,Recursion,,,Denv Tech
DSA,Flatten a jaggaed array,,,Denv Tech
DSA,Find second largest number in array,,,Denv Tech
DSA,D array to 1d array,,,Denv Tech
DSA,Array vs ll,,,Denv Tech
DSA,Bdf dfs,,,Denv Tech
DSA,Graph vs tree,,,Denv Tech
DSA,Hash table,,,Denv Tech
DSA,Count of repeating elements in array,,,Devsinc
DSA,"You have an array [3,4,6,7,8,2,3,1] and you have a count n such as 4, so shift first 4 elements of array to the left ( at the end of array)","    for (int i = 0,j=size-count; i < count; i++,j++) {
        arr[i]=arr[j]+arr[i];
        arr[j]=arr[i]-arr[j];
        arr[i]=arr[i]-arr[j];
    }",,Devsinc
DSA,Find pair in array whose sum is equal to target in o(n),,,Devsinc
DSA,Sort array in n,,,Devsinc
DSA,"You have a linked list l1: 1->2->3->4->
&
l2: 9->8->

find their sum and store in new linkedlist l3 as:
1->3->3->2",,,Devsinc
DSA,"You have an array say [1,2,-3,-4,5,6,-1,5,2,-3,-9,6]

move all negative at the beginning
note:
    - don't use extra array
    - do it in o(n)",,,Devsinc
DSA,Mirror a bst,,,Devsinc
DSA,"Tell the count of each element in an array in o(n)

don't use maps",,,Devsinc
DSA,"You have 10 steps(seerhi) to reach destination, and you can take only 2 or 1 step at one time. find the number of combinations/count of steps you can take to reach destination

hint: use recursion
also tell it's complexity",,,Devsinc
DSA,"You have some amount x say 500, and some denominations say 5,10,20,50,100. 

tell the count of combinations of denominations to make 500 rs.

hint: recursion
tell complexity",,,Devsinc
DSA,Flatten array,,,Devsinc
DSA,Find frequency of characters in string . time complexity should be o(n) and space complexity  o(1),,,Devsinc
DSA,Check whether the link list is a palindrome or not?,,,Devsinc
DSA,"A number k, sum and an array is given, you have to find whether the sum of consecutive k elements equals the sumq",,,Devsinc
DSA,Product of array except itself,,,Devsinc
DSA,Detect and remove cycle in linked list.,,,Devsinc
DSA,Mirror the bst,,,Devsinc
DSA,Pre order traversal,,,Devsinc
DSA,Bfs traversal,,,Devsinc
DSA,Twosum problem with o(n) time complexity,,,Devsinc
DSA,Sum of all the nodes of binary tree,,,Devsinc
DSA,"In what type of data to be searched, traversal of bst will be in worst case.",,,Devsinc
DSA,"You have a unsorted array from 1 to 100 with one number missing, find t number",,,Devsinc
DSA,Inorder traversal using recursion,,,Devsinc
DSA,Find all non repeating elements from array o(n),,,Devsinc
DSA,Vendor machine cash return algorithm.,,,Devsinc
DSA,Find intersection point in linked list,,,Devsinc
DSA,"Flatten a nested array. e.g input: [1, 2, [3, 4, 5, [6]], 7, 8]
output: [1, 2, 3, 4, 5, 6, 7, 8]",,,Devsinc
DSA,Find distance between to nodes in a bst.,,,Devsinc
DSA,Populate a bst from a given unsorted array.,,,Devsinc
DSA,Why do we use & in copy ctr paremeters list?,,,Devsinc
DSA,Binary search tree,,,Devsinc
DSA,Any alogorithms can sort in log n,,,Devsinc
DSA,"Sorting algorithms,any with best complexity,",,,Devsinc
DSA,"Binary tree,if there is only two nodes,is it still a binary tree,",,,Devsinc
DSA,"Difference in bst, tree, binary tree",,,Devsinc
DSA,Difference in graph and tree,,,Devsinc
DSA,"Postorder, preorder, inorder traversal (not code. a tree was given i was suppose to give the output)",,,Devsinc
DSA,"Based on given number, print even or odd. no if else or ternary operator. print even or odd without using the modulo operator. can use if statement.",,,Devsinc
DSA,Reverse linked list in o(1) space complexity?,,,Devsinc
DSA,Reverse a linked list? using any data structure?,,,Devsinc
DSA,Inorder recursion traversal code,,,Devsinc
DSA,Merge two sorted arrays into new array.?,,,Devsinc
DSA,"What is bst,",,,Devsinc
DSA,"You receive a link list and an integer n, you have to reverse list in chunks of n!! i.e. 1 2 3 4 5 6 7 and n=3        result => 3 2 1 6 5 4 7",,,Devsinc
DSA,Move zeroes to right side of it the array in o(n),,,Devsinc
DSA,"Given a singly linked list, write a function to find out if the linked list is a palindrome, but using only one iteration and win o(n) time bound.",,,Devsinc
DSA,Find middle of linked list in o(n),,,Devsinc
DSA,"There's an array
[0,2,6,0,-9,0,4,0,-1]
make all zeros come at right and all non zeros(including negative numbers) to come at left side. use only one loop.",,,Devsinc
DSA,Find 2nd largest number in array using 1 loop,,,Devsinc
DSA,"I have an array like
[2, [2,3] , [4,5,[5,6,7,8], [5,4,[7,4]]]]

it can be like s, multiple sub arrays win an array. make s 1d but you cant use list comprehension or built-in functions. simple loops but don't use too many loops.
answer: use recursion",,,Devsinc
DSA,"There's an array
[0,2,6,0,-9,0,4,0,-1]
make all zeros come at right and all non zeros(including negative numbers) to come at left side. use only one loop.",,,Devsinc
DSA,"I have an array like
[2, [2,3] , [4,5,[5,6,7,8], [5,4,[7,4]]]]

it can be like s, multiple sub arrays win an array. make s 1d but you cant use list comprehension or built-in functions. simple loops but don't use too many loops.
answer: use recursion

code in o(n)",,,Devsinc
DSA,Can we store a binary tree in db,,,EMPG
DSA,How many tables we require to store a binary tree in table,,,EMPG
DSA,How we can regenerate a binary tree from t table,,,EMPG
DSA,Sorting algos complexity,,,EMPG
DSA,Heap memory allocation vs stack memory allocation,,,EMPG
DSA,Recursive solution,,,EMPG
DSA,"Array vs linkedlist, why linkedlist",,Maria Rafique,EMPG
DSA,Difference b/w tree and graph,,,EMPG
DSA,Can we convert a tree into graph and vice versa,,,EMPG
HR/Behavioral,Tech stack interest,,,EMPG
DSA,Find missing element in array,,,EMPG
DSA,Heap memory allocation vs stack memory allocation,,,EMPG
DSA,Directed acyclic graph,,,EMPG
DSA,Array based o(n) array given  jnka sum 10 ho wo,,,EMPG
DSA,Favourite data structure and what problem it solves,,,EMPG
DSA,Two number  in a array with minimum sum,,,EMPG
DSA,Difference between array and llink list,,,EMPG
DSA,Difference between stack and queue and their implementation,,,EMPG
DSA,Prirority queue with its implementation,,,EMPG
DSA,Insert in middle of  a doubly linked list,,,EMPG
DSA,Detect loop from link list and delete it.,,,EMPG
DSA,Input is an array of integars. add all the elements  in an resultant array from the input array such t all the elements after t element is less n it.,,,Educative
DSA,Flatten a multi-level linked list,,,Educative
DSA,Find first smallest missing natural number from an unsorted array.,,,Educative
DSA,Delete the last occurence of an element from a linked list,,,Educative
DSA,How do you find height of a binary tree? x2,,,Educative
DSA,"Find kth largest number in array, cost sould be less n o(kn)",,,Educative
DSA,Verify if a binary tree is bst or not?,,,Educative
DSA,Remove nodes with duplicate values in a sorted link list,,,Educative
DSA,"Given an array of integers, e.g. [-3, 2, 0,-5,1, 5], find all the triplets where sum = k. for k=0 output is (-3,2,1), (-5, 0, 5)",Three Pointers after sorting,,Educative
DSA,"Given an string s = ""{{}}[(]))aabb"" and and array = [""()"", ""{}"",""[]"", ""ab""] return balanced or unbalanced for each pair e.g. (): ""unbalanced"", {}: ""balanced, []: ""balanced"", ab:""balanced"" in o(n) and without using stack queue",,,Educative
DSA,Sort a linked list,,,Educative
DSA,Level order traversal of a binary tree.,BFS,,Educative
DSA,"Given a binary tree, determine if it is a valid binary search tree (bst)",DFS,,Educative
DSA,Find the nth fibonacci,"//space optimized dp
iint GetFibonacci(int n) {
        if(n==0){
                return n;
        }
        if(n==1 || n==2){
                return 1;
        }
        int a1=1;
        int a2=1;
        for(int i=3;i<=n;i++){
                a1=a1+a2;
                swap(a1,a2);
        }
        return a2;}",,Educative
DSA,Merge the k srorted linked lists,"O(Nlgk) Solution, Using Heap, Via Binary Merging (As in merge sort)",,Educative
DSA,Rd largest in bst,,,Educative
DSA,Given a binary tree return the longest path from root to leaf as an array of nodes,,,Educative
DSA,"Given a string with ternery operators e.g. ""a?b:c"" convert it into a tree 
       a
   /        \
b           c

""a?b?d:e:c""
       a
   /        \
  b           c
 /. \
d  e",,Interviewer: Rahim ul haq,Educative
DSA,Given an array and average count the pairs who's average are equal to the given average.,,"Muneeb Zia
",Educative
DSA,"Given a linked list and a chunk size, reverse the linked list in chunks example 1,2,3,4,5,6,7,8,9 -----> 3,2,1,6,5,4,9,8,7",,,Educative
DSA,Given a binary tree and a value n we have to check if sum of values from root to leaf nodes exist t matches the given value n,,,Educative
DSA,Given a link list we have to remove duplicate nodes in unsorted list in o(n),,,Educative
DSA,"Dfs,bfs",,,Educative
DSA,"Two linked list heads are given, each of which represent a non negative reversed number, you need to return a linked list t is equal to the sum of numbers represented by the two input linked list. for example: ll1 = 1->0->2, ll2 = 2->1->5, ll to be returned = 3->1->7",,,Educative
DSA,Write a function t finds the path in a binary tree t has the greatest sum.⁸,,,Educative
DSA,Find indxes of 2 numbers whose sum is equal to given number in array o(n),,,Educative
DSA,You have given a sorted array of unknown size how would you search an element from array,,,Educative
DSA,Find 3rd maximum from bst without recusrion,,,Educative
DSA,Find 2nd maximum from binary tree (not bst),,,Educative
DSA,Given a value n print its fibonacci value,,,Educative
DSA,Mirror the binary tree,,,Educative
DSA,Find a first missing natural number from an array (unsorted),,,Educative
DSA,"Rotate the linklist to left upto n rotation. if 1 2 3 4 5 is linklist and n= 2,  it become 3 4 5 1 2",,,Educative
DSA,Find max value in binary tree.,,,Educative
DSA,"Write a function t finds max sum of unsorted array, no consecutive elements involve (dynamic programming)",,,Educative
DSA,Find the first repetition in linked list,,,Educative
DSA,A multilevel linkedlist is given. convert it into flat(single level) list.,two pointers approach,Muneeb Zia,Educative
DSA,Given an array/string print all possible palindromes.,,,Educative
DSA,"Find the count of distinct number of pairs in an array whose product is equal to a number k. note: (a, b) == (b, a)",,,Educative
DSA,Given a linked list reverse linked list in k chunks.,,"Muneeb Zia
",Educative
DSA,Reverse k sorted linkedlists,,Wasiq Malik,Educative
DSA,Online tech screen (swe),,,Educative
DSA,"In a binary tree connect left nodes to the neighbour right  nodes at the same level. e.g.
input tree
     a
     / \ 
   b   c.
   / \   \
 d   e   f

output tree
        a--->null
        / \
     b-->c-->null
      / \     \
   d-->e-->f-->null",,Rahim ul Haq,Educative
DSA,"Given two arrays, find all pairs whose sum is x. e
input : 
arr1[] = {1, 2, 4, 5, 7}
arr2[] = {5, 6, 3, 4, 8}
x = 9
output : 
1 8
4 5
5 4",,Rahim ul Haq,Educative
DSA,Find the nth fibonacci,"//space optimized dp
iint GetFibonacci(int n) {
        if(n==0){
                return n;
        }
        if(n==1 || n==2){
                return 1;
        }
        int a1=1;
        int a2=1;
        for(int i=3;i<=n;i++){
                a1=a1+a2;
                swap(a1,a2);
        }
        return a2;}",Muhammad Ahmad,Educative
DSA,Find the 3rd largest from bst in o(lgn) time and o(1) space,3 pointers approach,Muhammad Ahmad,Educative
DSA,"Return the triplet whose sum is maximum in an array"" with ""return the triplet(consecutive) whose sum is maximum in an array",,,Educative
DSA,Reverse last n nodes in link list,,,Educative
DSA,Delete last occurrence of an item(number) from a singly linked list,,,Educative
DSA,"Given an integer n, return its corresponding excel column string. a dictionary of alphabet is also provided. i.e; {1:""a"", 2:""b"", 3:""c"", 4:""d"", ...., 26:""z""}. sample tests: for n=1 => output: a, for n=2 => output: b, for n=26 => output: z, for n=27 => output: aa, for n=52 => output: az, for n=703 => output: aaa and so on.",,,Educative
DSA,Array and string manipulation  eg,,,Esketchers
DSA,Handling 2 d array,,,Esketchers
DSA,Find the count of specific number with minimum time complexity,,,Esketchers
DSA,Q9: given an array of five positive integers. calculate the mininum and maximum sum of 4 out of 5 integers. calculate s in minimum time complexity,,,Esketchers
DSA,Diff b/w stack and linked list,,,Esketchers
DSA,Diff b/w graph and tree,,,Esketchers
DSA,What is recursion and what we need to make sure before implementing it,,,Esketchers
DSA,What we need to do before merge sort,,,Esketchers
DSA,What is quick sort,,,Esketchers
DSA,Diff b/w tuple and attribute,,,Esketchers
DSA,Q8: print 2dimensional array of nxn size using one loop and one variable,,,Esketchers
DSA,Arrays of integers  are given  find the 2nd array elements t are not in 1st array,,,Focusteck
DSA,Dsa ma sa linklist aur array ma difference aur uske bubble sort poocha,,,Focusteck
DSA,"Jese agar cat string hai to array me cate, cast, acat waghera hain..",,,Focusteck
DSA,Aapne check krna k array me koi cycle ban rai hai ya ni..,,,Focusteck
DSA,Given an integer array find if the array has cycle in it,,,Focusteck
DSA,Given list of string find the one with maximum size,,Mubarak Ahmad,Focusteck
DSA,"Or second question  k ek array me strings pri hain or apne check krna k hr string me koi bi alphabet delete, update ya add kr k hmari relavent string bnti hai ya ni..",,,Focusteck
DSA,"Write a recursive function to print the zig zag traversal of array 
input :  5 7 2 1 4
output : 5 4 7 1 2
i.e print in pairs 1st and last, 2nd and second last and so on,",,,Foomotion
DSA,Def speedometer(number):,,,Foomotion
DSA,"A meter counts the distance covered but a fault with digit 4, so it misses any number with digit 4 in it",,,Foomotion
DSA,A distance on meter is given find actual distance,,,Foomotion
DSA,Q3. write a method togenerate a random number without using any built in random generator method,,,Foomotion
DSA,Ds ki types aur bst aur graph kya hotay hain. bst ma insertion krwao code likh k.,,,Foomotion
DSA,"Given bst ko check kro valid ha ya nhi, fer apna code dry run kr k btao.",,,Foomotion
DSA,"Red black tree, sparse matrix, dp ka pta ha?",,,Foomotion
DSA,"Naam ma headquaters likha ha, laikin andr siraf 4,5 loog bey hotay hain.",,,Foomotion
DSA,Q1. check if given number is an armstrong or not. armstrong is a number in which sum of each number raise to power total count of numbers present in it equals itself e.g 371=3^3+7^3+1^3,,,Foomotion
DSA,"A list of odd numbers is given 2 times. only 1 number occurs 1 time, find t number",,,Foomotion
DSA,Reverse a linked list using recursison,,,Foomotion
DSA,"Number of stairs is given, a person can move to 1 step of 2 steps at a time, we have to find combinitions of how many ways a person can climb up",,,Foomotion
DSA,Delete middle of linked list,,,Foomotion
DSA,Linkedlist insertion at any position,,,Hazelsoft
DSA,"Run/space time complexity of merge, insertion",,,INNOVICSOFT
DSA,Mern stack mn kiun kya,,,Ismi Technology
DSA,Can we make stack with queue or queue with stack .,,,MergeStack
DSA,How to check given   input list is circular linked list,,,MergeStack
DSA,Linked list,,,MergeStack
DSA,Binary search tree,,,MergeStack
DSA,Binary tree,,,MergeStack
DSA,How to implement stack,,,MergeStack
DSA,Stack and queue,,,MergeStack
DSA,Define dsa,,,MergeStack
DSA,Binary search tree ( properties of bst),,,MergeStack
DSA,Find if the linked list is circular or not ( just explanation,,,MergeStack
DSA,Dsa basics:,,,MergeStack
DSA,Find median in array,,,MergeStack
DSA,Basic dsa,,,MergeStack
DSA,Anagram without sorting,,,MergeStack
DSA,Stack and queur real timr example,,,MergeStack
DSA,"Q1: given an integer k and an array, split the array into two parts such t each part's sum equals to k otherwise return -1.",,,MindStorm
DSA,Program to reverser array,,,Nestosh
DSA,Bubble sort program,,,Nestosh
DSA,Program to implement queue using array,,,Nestosh
DSA,"Implement stack using two queue no limit in time complexity but space complexity must be o(1). in s question you are asked to implement pop,push,peek/top methods",,,OCloud Solutions
DSA,Print binary search tree in level order,,,OCloud Solutions
DSA,Link list are merged at  a point forming y.find where are they merging.(available on geeks for geeks),,,OCloud Solutions
DSA,String 123456.write a prog t gives sum in single digit using recursion,,,OCloud Solutions
DSA,Program to find the height of the binary tree through recurrsion and iterative method,,,OCloud Solutions
DSA,Difference between binary tree & binary search tree,,,OCloud Solutions
DSA,Count the length of linked list,,,OCloud Solutions
DSA,Print in order travel of given tree,,,OCloud Solutions
DSA,Queue,,,OCloud Solutions
DSA,Bst vs avl,,,OCloud Solutions
DSA,Reverse singly linked list by using extra space and not using extra space,,,OCloud Solutions
DSA,Program to find in order traversal result on tree using iterative and recursive function,,,OCloud Solutions
DSA,Find the point where two singly linked lists intersected,,,OCloud Solutions
DSA,Reverse a linked list,,,OCloud Solutions
DSA,Height of bst iterative and recursive both,,,OCloud Solutions
DSA,Heigh of a binary tree,,,OCloud Solutions
DSA,"From a given tree, start and end level print out the nodes in level order from left to right in the given start and end levels.",,,OCloud Solutions
DSA,"Write a program to calculate the power of a number. where n represent the number, m represents the power, and power can be negative.
examples:
n=4, m=3  64
n=4, m=-3  0.0156version-i:    write a program with time complexity o(n).
variation-ii: write a program with time complexity o(logn)",,,OCloud Solutions
DSA,Hashing,,,OCloud Solutions
DSA,Mapping,,,OCloud Solutions
DSA,Hashmaps,,,OCloud Solutions
DSA,Binary tree vs avl,,,OCloud Solutions
DSA,Stack,,,OCloud Solutions
DSA,Name some data structures,,,PakWheels
DSA,Array based problem solving question,,,PakWheels
DSA,"Question: list all courses in order
# output: 
#  'data structures',
#  'computer networks',
#  'computer architecture',
#  'software design',
#  'algorithms',
#  'foundations of computer science',
#  'operating systems'",,,PakWheels
DSA,Reverse a linklist,,,PakWheels
DSA,Mid of a linklist,,,PakWheels
DSA,"Array or linkedlist m searching ki time complexity, agr koi random value search krni hai",,,Qbatch
DSA,Data structures ki definition,,,Qbatch
DSA,How to get value of rd last element of linkedlist,,,Qbatch
DSA,How to make a queue without using stack,,,Qbatch
DSA,Can graph have cycles,,,Qbatch
DSA,Graph vs tree,,,Qbatch
DSA,Array vs linkedlist,,,Qbatch
DSA,Difference between linear and non linear data structures,,,Qbatch
DSA,Types,,,Qbatch
DSA,Definition of data structures,,,Qbatch
DSA,Bst ki characteristics,,,Qbatch
DSA,Pseudocode to detect a cycle in a graph?,,,SSI
DSA,Difference between implementing an adjacency list with a vector of vector and a vector of the list?,,,SSI
DSA,Pseudocode of removing duplicates from a linked list?,,,SSI
DSA,Difference between hashmap and treemap?,,,SSI
DSA,Applications of dfs and bfs?,,,SSI
DSA,What is dfs and bfs?,,,SSI
DSA,Map many to many relations without a junction table?,,,SSI
DSA,Best sorting algo in worst case? -> time complexity?,,,SSI
DSA,Find largest difference in an array only from left to right,,,SSI
DSA,"Find largest difference in an array (can be from left to right or right to left) eg in s array, maxdifference = 9 ->10-1=9     array: 2, 9, 6, 3, 5, 10, 1",,,SSI
DSA,Find min and max of array,,,SSI
DSA,Worst case insertion in hash vs array,,,SSI
DSA,Hash vs array,,,SSI
DSA,Linkedlist vs array,,,SSI
DSA,Bfs vs dfs,,,SSI
DSA,Explain dfs algo,,,SSI
DSA,Explain bfs algo,,,SSI
DSA,Explain quick sort algo,,,SSI
DSA,Q9: given an array of five positive integers. calculate the mininum and maximum sum of 4 out of 5 integers. calculate s in minimum time complexity,,,Smaritan Technologies
DSA,Q8: print 2dimensional array of nxn size using one loop and one variable,,,Smaritan Technologies
DSA,"Return the sum of duplicate number and missing number from an unsorted list of integers from 1 to len(array) i.e. [1,2,2,4] will return 2 + 3 = 5",,,Tajir
DSA,Mcqs thy 2 coding questions thy or asan thy wo like do arrays ko merge krna  ascending  order mey,,,Tajir
DSA,Diff between stack and array,,,Tbox Solutionz
DSA,Bst insertion removal complexity,,,TechnoCares
DSA,Which sorting algorithm is best and why,,,TechnoCares
DSA,Binary search,,,TechnoCares
DSA,In a new list in ascending order until we have one sorted list.,,,Technosoft
DSA,"Sorted order. to do s, we compare the first element of each sublist and merge them together",,,Technosoft
DSA,"The ""conquer"" step of the merge sort algorithm involves merging the sublists back together in a",,,Technosoft
DSA,By recursively dividing the list into halves until each sublist contains only one element. s,,,Technosoft
DSA,"Before performing a merge sort, the input list needs to be split into smaller sublists. s is done",,,Technosoft
DSA,Q10) what we need to do before merge sort?,,,Technosoft
DSA,"Elements is required. linked lists, on the other hand, can perform these operations efficiently by simply",,,Technosoft
DSA,"Insertion and deletion: insertion and deletion operations in arrays can be expensive, as shifting all the",,,Technosoft
DSA,"In a linked list requires traversing the list from the beginning, resulting in a linear access time in the",,,Technosoft
DSA,Secondary keys improve performance in searching and sorting but are not required to be unique.,,,Technosoft
DSA,"Even_numbers = list(filter(lambda x: x % 2 == 0, numbers))",,,Technosoft
DSA,Stack and queues,,,Technosoft
DSA,What is push and pop.,,,Technosoft
DSA,What is enqueue and dequeue.,,,Technosoft
DSA,Stack vs heap,,,Technosoft
DSA,Stack vs queue,,,Technosoft
DSA,"Even_numbers = list(filter(is_even, numbers))",,,Technosoft
DSA,"Size flexibility: arrays have a fixed size, while linked lists can grow or shrink dynamically by adding or",,,Technosoft
DSA,"Memory allocation: arrays are allocated as contiguous blocks of memory, while linked lists use dynamic",,,Technosoft
DSA,Functionality using if and elif statements or a dictionary-based approach. use dict.,,,Technosoft
DSA,"Through a set of best practices. xp emphasizes test-driven development (tdd), continuous integration",,,Technosoft
Web/Network,Java script m elements kin kin treeqo s get kar sakty,,,Technosoft
DSA,"Mac addresses operate at the data link layer of the network stack for local network communication,",,,Technosoft
DSA,Q9) array vs link list?,,,Technosoft
DSA,"Stacks are implemented using arrays or linked lists, while linked lists are implemented using",,,Technosoft
DSA,While a linked list is a data structure t represents a sequence of elements.,,,Technosoft
DSA,"A stack is an abstract data type t represents a last-in, first-out (lifo) collection of elements,",,,Technosoft
DSA,Q8) stack vs link list?,,,Technosoft
DSA,Time complexity,,,Technosoft
DSA,"Before implementing recursion, it is important to ensure the following:",,,Technosoft
DSA,Function t uses recursion is called a recursive function.,,,Technosoft
DSA,Q7) what is recursion and what we need to make sure before implementing it,,,Technosoft
DSA,"Unlike a tree, a graph can have cycles, multiple roots, and multiple paths between nodes.",,,Technosoft
DSA,"A graph, on the other hand, is a collection of vertices (nodes) and edges t connect pairs of",,,Technosoft
DSA,Q8) diff b/w graph and tree in 4 lines,,,Technosoft
DSA,Stack heap queue,,,Technosoft
DSA,Dsa me bs basic pucha*,,,Technosoft
